Year.Week,Ticker,Year,Mo,Tu,We,Th,Fr
2000.02,XLB,2000,-0.34144754189861587,-1.1993363446344019,-1.4451089017341006,0.4105797992156228,-0.7009345794392523
2000.03,XLB,2000,-2.411742117647062,0.0,-1.9288723684828273,-2.6429240228132573,0.44194343434343053
2000.04,XLB,2000,-2.639896785845143,-1.8721512710820492,0.0,0.5263157894736842,-1.7015706806282722
2000.05,XLB,2000,-0.5992266311584514,1.8084655689556413,0.4605515789473645,-1.702734869777209,-0.13319337184961144
2000.06,XLB,2000,-1.9346482035324108,-0.272108843537415,-1.9781980900409235,-0.8350732920446375,-2.456114065366882
2000.07,XLB,2000,1.6546486330935295,4.31708425885375,-2.306648575305292,-0.20835999999999583,-3.061935404163671
2000.08,XLB,2000,3.1586512655578507,0.0,-1.1134310560595166,-3.5889957622620536,-1.6058394160583942
2000.09,XLB,2000,0.29673590504451036,-0.6656520710059216,-1.042499180700151,-2.1820635349228015,3.230769230769231
2000.1,XLB,2000,-2.384500745156483,-3.2061068702290076,2.129367823343844,-0.15449941364649666,0.850764676483859
2000.11,XLB,2000,1.5337423312883436,-1.737189123867065,5.99544896406794,5.873792127965069,-3.5616438356164384
2000.12,XLB,2000,1.2073590909090952,1.1930097249934937,-2.5659073509015213,3.060526388072688,-0.4834519337016533
2000.13,XLB,2000,-0.41632433023494436,-1.8815593571297569,2.0596318181818223,2.714014921490413,-0.06772466124661654
2000.14,XLB,2000,3.254236440930988,-0.9192885403763549,-0.7952288305950105,-0.6011769077167258,-1.6129032258064515
2000.15,XLB,2000,2.459016393442623,2.4,2.6041666666666665,-2.7918781725888326,-5.483028720626632
2000.16,XLB,2000,0.13812154696132597,-1.8620424827586248,-1.2649868687596841,2.491131214657922,0.0
2000.17,XLB,2000,0.20835999999999583,0.13854687927790046,-1.7300776915915843,-0.35208563380282115,0.7773578102435384
2000.18,XLB,2000,-0.1402524544179523,3.0898876404494384,-1.6348773841961852,1.0388077562326827,-0.06856639730671517
2000.19,XLB,2000,-0.5486968449931413,1.793103448275862,-1.2195121951219512,1.303128669410155,0.3385501218708468
2000.2,XLB,2000,1.7543859649122806,-1.0610079575596818,0.2680965147453083,-0.8021390374331551,0.2695417789757412
2000.21,XLB,2000,-0.5376344086021505,-1.4188929729729771,-0.41129310628062726,-3.6476001381131855,-1.5714285714285714
2000.22,XLB,2000,1.0885062409288868,0.0,-0.861450345152141,0.28964526518738726,1.660678005559818
2000.23,XLB,2000,-0.8522727272727273,0.14326647564469913,-2.1459227467811157,-0.14619883040935672,-0.14641288433382138
2000.24,XLB,2000,0.5865102639296188,-2.8425935860058265,2.62568597769198,0.0,0.0
2000.25,XLB,2000,-3.216374269005848,-1.8126888217522659,-0.46153846153846156,0.0,0.07730942812982534
2000.26,XLB,2000,-2.316660934673505,4.031652132928389,-0.22799270516716869,-1.8278756297823624,-2.482545347786977
2000.27,XLB,2000,2.784438718555658,0.0,0.46439628482972134,-2.6194144838212634,-0.47468354430379744
2000.28,XLB,2000,1.4308426073131955,5.329153605015674,-0.5208619047619003,1.121943777731043,-1.9970698224852026
2000.29,XLB,2000,-1.5848771385606242,-1.5337423312883436,0.0,-0.778816199376947,0.47095761381475665
