HolidayDate,Date,Holiday,Num,HolidayFlag,DayofWeek
4/6/07,4/5/07,Good Friday,6,1,6
5/28/07,5/27/07,Memorial Day,2,1,2
7/4/07,7/3/07,Independence Day,4,1,4
9/3/07,9/2/07,Labor Day,2,1,2
11/22/07,11/21/07,Thanksgiving Day,5,1,5
12/25/07,12/24/07,Christmas Day,3,1,3
1/1/06,12/31/05,New Years Day,1,1,1
1/16/06,1/15/06,"Martin Luther King, Jr. Day",2,1,2
2/20/06,2/19/06,President's Day,2,1,2
4/14/06,4/13/06,Good Friday,6,1,6
5/29/06,5/28/06,Memorial Day,2,1,2
7/4/06,7/3/06,Independence Day,3,1,3
9/4/06,9/3/06,Labor Day,2,1,2
11/23/06,11/22/06,Thanksgiving Day,5,1,5
12/25/06,12/24/06,Christmas Day,2,1,2
1/1/05,12/31/04,New Years Day,7,1,7
1/17/05,1/16/05,"Martin Luther King, Jr. Day",2,1,2
2/21/05,2/20/05,President's Day,2,1,2
4/25/05,4/24/05,Good Friday,2,1,2
5/30/05,5/29/05,Memorial Day,2,1,2
7/4/05,7/3/05,Independence Day,2,1,2
9/5/05,9/4/05,Labor Day,2,1,2
11/24/05,11/23/05,Thanksgiving Day,5,1,5
12/25/05,12/24/05,Christmas Day,1,1,1
1/1/04,12/31/03,New Years Day,5,1,5
1/19/04,1/18/04,"Martin Luther King, Jr. Day",2,1,2
2/16/04,2/15/04,President's Day,2,1,2
4/9/04,4/8/04,Good Friday,6,1,6
5/31/04,5/30/04,Memorial Day,2,1,2
6/11/04,6/10/04,Presidential Funeral - Reagan,6,1,6
7/4/04,7/3/04,Independence Day,1,1,1
9/6/04,9/5/04,Labor Day,2,1,2
11/25/04,11/24/04,Thanksgiving Day,5,1,5
12/25/04,12/24/04,Christmas Day,7,1,7
1/1/03,12/31/02,New Years Day,4,1,4
1/20/03,1/19/03,"Martin Luther King, Jr. Day",2,1,2
2/17/03,2/16/03,President's Day,2,1,2
4/18/03,4/17/03,Good Friday,6,1,6
5/26/03,5/25/03,Memorial Day,2,1,2
7/4/03,7/3/03,Independence Day,6,1,6
9/1/03,8/31/03,Labor Day,2,1,2
11/27/03,11/26/03,Thanksgiving Day,5,1,5
12/25/03,12/24/03,Christmas Day,5,1,5
1/1/02,12/31/01,New Years Day,3,1,3
1/21/02,1/20/02,"Martin Luther King, Jr. Day",2,1,2
2/18/02,2/17/02,President's Day,2,1,2
4/29/02,4/28/02,Good Friday,2,1,2
5/27/02,5/26/02,Memorial Day,2,1,2
7/4/02,7/3/02,Independence Day,5,1,5
9/2/02,9/1/02,Labor Day,2,1,2
11/28/02,11/27/02,Thanksgiving Day,5,1,5
12/25/02,12/24/02,Christmas Day,4,1,4
1/1/01,12/31/00,New Years Day,2,1,2
1/15/01,1/14/01,"Martin Luther King, Jr. Day",2,1,2
2/19/01,2/18/01,President's Day,2,1,2
4/13/01,4/12/01,Good Friday,6,1,6
5/28/01,5/27/01,Memorial Day,2,1,2
7/4/01,7/3/01,Independence Day,4,1,4
9/3/01,9/2/01,Labor Day,2,1,2
11/11/01,11/10/01,Veterans Day(World Trade Center Day),1,1,1
11/12/01,11/11/01,(World Trade Center Day),2,1,2
11/13/01,11/12/01,(World Trade Center Day),3,1,3
11/14/01,11/13/01,(World Trade Center Day),4,1,4
11/22/01,11/21/01,Thanksgiving Day,5,1,5
12/25/01,12/24/01,Christmas Day,3,1,3
1/1/00,12/31/99,New Years Day,7,1,7
1/17/00,1/16/00,"Martin Luther King, Jr. Day",2,1,2
2/21/00,2/20/00,President's Day,2,1,2
4/21/00,4/20/00,Good Friday,6,1,6
5/29/00,5/28/00,Memorial Day,2,1,2
7/4/00,7/3/00,Independence Day,3,1,3
9/4/00,9/3/00,Labor Day,2,1,2
11/23/00,11/22/00,Thanksgiving Day,5,1,5
12/25/00,12/24/00,Christmas Day,2,1,2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
